new_area_code,original_area_code,original,city,current_state,current_county,current_state_fip,current_county_fip,old_county_fips,state,county,population_1950,residence_telephones_1945,population_under5_1950,population_over65_1950,births,black_pop,dial_pulls
231,616,FALSE,Norton Shores,Michigan,muskegon,26,121,NA,NA,NA,121545,14747,15124,8072,4138,7657,13
315,315,TRUE,Auburn,New York,cayuga,36,11,NA,NA,NA,70136,9809,7185,8215,1616,1052,9
518,518,TRUE,Saratoga Springs,New York,saratoga,36,91,NA,NA,NA,74869,8676,7598,7788,1936,749,14
716,716,TRUE,South Lockport,New York,niagara,36,63,NA,NA,NA,189992,21439,20760,14703,6064,4750,14
716,716,TRUE,Niagara Falls,New York,niagara,36,63,NA,NA,NA,189992,21439,20760,14703,6064,4750,14
716,716,TRUE,North Tonawanda,New York,niagara,36,63,NA,NA,NA,189992,21439,20760,14703,6064,4750,14
585,716,FALSE,Brighton,New York,monroe,36,55,NA,NA,NA,487632,70925,48326,48580,13302,8290,14
585,716,FALSE,Irondequoit,New York,monroe,36,55,NA,NA,NA,487632,70925,48326,48580,13302,8290,14
585,716,FALSE,Rochester,New York,monroe,36,55,NA,NA,NA,487632,70925,48326,48580,13302,8290,14
616,616,TRUE,Forest Hills,Michigan,kent,26,81,NA,NA,NA,288292,47461,32272,25757,9582,7207,13
616,616,TRUE,Grand Rapids,Michigan,kent,26,81,NA,NA,NA,288292,47461,32272,25757,9582,7207,13
616,616,TRUE,Kentwood,Michigan,kent,26,81,NA,NA,NA,288292,47461,32272,25757,9582,7207,13
616,616,TRUE,Walker,Michigan,kent,26,81,NA,NA,NA,288292,47461,32272,25757,9582,7207,13
616,616,TRUE,Wyoming,Michigan,kent,26,81,NA,NA,NA,288292,47461,32272,25757,9582,7207,13
608,715,FALSE,Fitchburg,Wisconsin,dane,55,25,NA,NA,NA,169357,25231,17684,13490,6330,1016,13
608,715,FALSE,Madison,Wisconsin,dane,55,25,NA,NA,NA,169357,25231,17684,13490,6330,1016,13
608,715,FALSE,Sun Prairie,Wisconsin,dane,55,25,NA,NA,NA,169357,25231,17684,13490,6330,1016,13
603,603,TRUE,Derry,New Hampshire,rockingham,33,15,NA,NA,NA,70059,10198,7456,7931,2492,280,19
603,603,TRUE,Portsmouth,New Hampshire,rockingham,33,15,NA,NA,NA,70059,10198,7456,7931,2492,280,19
315,315,TRUE,Syracuse,New York,onondaga,36,67,NA,NA,NA,341719,46055,34372,30986,10580,6151,9
641,515,FALSE,Mason City,Iowa,cerro gordo,19,33,NA,NA,NA,46053,7086,4875,4380,1146,322,11
810,313,FALSE,Burton,Michigan,genesee,26,49,NA,NA,NA,270963,41274,31690,16231,10494,14361,7
810,313,FALSE,Flint,Michigan,genesee,26,49,NA,NA,NA,270963,41274,31690,16231,10494,14361,7
603,603,TRUE,Manchester,New Hampshire,hillsborough,33,11,NA,NA,NA,156987,21343,16290,15570,4196,314,19
603,603,TRUE,Nashua,New Hampshire,hillsborough,33,11,NA,NA,NA,156987,21343,16290,15570,4196,314,19
616,616,TRUE,Holland,Michigan,ottawa,26,139,NA,NA,NA,73751,10310,9089,6289,2616,221,13
